"","T_cell","B_cell","NK_cell","Monocyte","Dendritic","Endothelial","Fibroblast","Epithelial"
"MIX_001",0.999999999999999,0,0,0,0,0,0,0
"MIX_002",0,1,0,0,0,0,0,0
"MIX_003",0,0,0.999999999999999,0,0,0,0,0
"MIX_004",0,0,0,0.999999999999998,0,0,0,0
"MIX_005",0,0,0,0,0.999999999999997,0,0,0
"MIX_006",0,0,0,0,0,1,0,0
"MIX_007",0,0,0,0,0,0,0.999999999999998,0
"MIX_008",0,0,0,0,0,0,0,0.999999999999995
"MIX_009",0.133426062806517,0.148533221346494,0.103931196877051,0.109202697144237,0.123818888501667,0.111101387342728,0.158212358690141,0.111774187291165
"MIX_010",0.443581787086442,0.556418212913557,0,0,0,0,0,0
"MIX_011",0,0.629717087360666,0.370282912639333,0,0,0,0,0
"MIX_012",0,0,0.497404609124239,0.50259539087576,0,0,0,0
"MIX_013",0,0,0,0.459562054255174,0.540437945744825,0,0,0
"MIX_014",0,0,0,0,0.538182744029496,0.461817255970503,0,0
"MIX_015",0,0,0,0,0,0.412389271120116,0.587610728879884,0
"MIX_016",0,0,0,0,0,0,0.574977976057972,0.425022023942028
"MIX_017",0.553768228373247,0,0,0,0,0,0,0.446231771626753
"MIX_018",0.818388601959706,0,0.144676156964746,0,0,0.0369352410755475,0,0
"MIX_019",0,0.845990971092047,0,0.108003078730563,0,0,0.0460059501773891,0
"MIX_020",0,0,0.763165502886455,0,0.192305390131562,0,0,0.0445291069819825
"MIX_021",0.0654544601077128,0,0,0.767963053152104,0,0.166582486740183,0,0
"MIX_022",0,0.0553777046810683,0,0,0.749260421797771,0,0.195361873521161,0
"MIX_023",0,0,0.042873399632979,0,0,0.779211956446579,0,0.177914643920442
"MIX_024",0.157894009361126,0,0,0.0196843855852066,0,0,0.822421605053667,0
"MIX_025",0,0.233704822110653,0,0,0.0291907869536102,0,0,0.737104390935736
"MIX_026",0,0.884194546648256,0,0,0.115805453351744,0,0,0
"MIX_027",0,0,0.837042423156904,0,0,0.162957576843096,0,0
"MIX_028",0,0,0,0.792146626240784,0,0,0.207853373759216,0
"MIX_029",0,0,0,0,0.855783235206463,0,0,0.144216764793537
"MIX_030",0.191183212829109,0,0,0,0,0.808816787170891,0,0
"MIX_031",0,0.164598797622289,0,0,0,0,0.835401202377711,0
"MIX_032",0,0,0.148297263774104,0,0,0,0,0.851702736225896
"MIX_033",0.87554044534663,0,0,0.12445955465337,0,0,0,0
"MIX_034",0.555474681822712,0,0.42721318563502,0,0,0.0173121325422675,0,0
"MIX_035",0,0,0,0.451438628829005,0.52277742201716,0,0,0.0257839491538343
"MIX_036",0,0.0425734632958808,0,0,0,0.400052057367008,0.557374479337111,0
"MIX_037",0,0,0.00630137182678277,0,0,0,0.564635338226717,0.429063289946501
"MIX_038",0.447387348684109,0.552612651315891,0,0,0,0,0,0
"MIX_039",0,0.0317073050125687,0,0,0.435703661760003,0,0.532589033227429,0
"MIX_040",0.555474681822712,0,0.42721318563502,0,0,0.0173121325422675,0,0
"MIX_041",0,0,0,0.451438628829005,0.52277742201716,0,0,0.0257839491538343
"MIX_042",0,0.190141478889439,0.0900605033637799,0.132936200960529,0.577740436106765,0,0,0.00912138067948778
"MIX_043",0.442163530967145,0.132632137903391,0.0757253234720302,0.297525838043145,0,0,0.0192170464233173,0.032736123190971
"MIX_044",0.0203232186892818,0.338896912594992,0,0,0,0.0570475032601753,0.583732365455551,0
"MIX_045",0.372555130046489,0.369715858195969,0,0,0.00353396115786797,0.0568034969340822,0.118198779214471,0.0791927744511201
"MIX_046",0.214548434497872,0.045928938608608,0,0.364642145576514,0.197094914487528,0,0.175776307104162,0.00200925972531674
"MIX_047",0.335606291829945,0.419552469675417,0,0.154814629910192,0,0.0900266085844462,0,0
"MIX_048",0.0141559971262364,0.195224191035629,0,0.266991967747384,0,0.0050901857737167,0.518537658317034,0
