"","T_cell","B_cell","NK_cell","Monocyte","Dendritic","Endothelial","Fibroblast","Epithelial"
"MIX_001",0.999999999999999,0,0,0,0,0,0,0
"MIX_002",0,0.999999999999999,0,0,0,0,0,0
"MIX_003",0,0,0.999999999999992,0,0,0,0,0
"MIX_004",0,0,0,0.999999999999994,0,0,0,0
"MIX_005",0,0,0,0,1,0,0,0
"MIX_006",0,0,0,0,0,0.999999999999998,0,0
"MIX_007",0,0,0,0,0,0,0.999999999999997,0
"MIX_008",0,0,0,0,0,0,0,1
"MIX_009",0.124999999999992,0.125,0.125000000000001,0.125000000000006,0.125000000000006,0.125000000000004,0.124999999999995,0.124999999999996
"MIX_010",0.500000000000006,0.499999999999992,0,0,0,0,0,0
"MIX_011",0,0.500000000000003,0.499999999999995,0,0,0,0,0
"MIX_012",0,0,0.499999999999998,0.499999999999989,0,0,0,0
"MIX_013",0,0,0,0.500000000000007,0.499999999999993,0,0,0
"MIX_014",0,0,0,0,0.499999999999997,0.499999999999996,0,0
"MIX_015",0,0,0,0,0,0.499999999999993,0.500000000000002,0
"MIX_016",0,0,0,0,0,0,0.500000000000004,0.499999999999992
"MIX_017",0.499999999999998,0,0,0,0,0,0,0.49999999999999
"MIX_018",0.700000000000002,0,0.199999999999998,0,0,0.0999999999999956,0,0
"MIX_019",0,0.700000000000004,0,0.199999999999994,0,0,0.100000000000001,0
"MIX_020",0,0,0.699999999999983,0,0.200000000000001,0,0,0.100000000000009
"MIX_021",0.100000000000002,0,0,0.699999999999998,0,0.2,0,0
"MIX_022",0,0.0999999999999969,0,0,0.700000000000001,0,0.199999999999994,0
"MIX_023",0,0,0.100000000000004,0,0,0.699999999999994,0,0.199999999999998
"MIX_024",0.199999999999995,0,0,0.100000000000006,0,0,0.699999999999998,0
"MIX_025",0,0.199999999999994,0,0,0.0999999999999968,0,0,0.699999999999997
"MIX_026",0.00499999999999534,0.794999999999999,0,0,0.2,0,0,0
"MIX_027",0,0.00499999999999617,0.79499999999999,0,0,0.200000000000003,0,0
"MIX_028",0,0,0.00499999999999812,0.794999999999993,0,0,0.200000000000002,0
"MIX_029",0,0,0,0.00499999999998917,0.795000000000001,0,0,0.200000000000002
"MIX_030",0.199999999999995,0,0,0,0.00499999999999862,0.794999999999997,0,0
"MIX_031",0,0.199999999999997,0,0,0,0.00499999999999594,0.795000000000002,0
"MIX_032",0,0,0.200000000000001,0,0,0,0.00499999999999599,0.794999999999998
"MIX_033",0.795000000000001,0,0,0.199999999999995,0,0,0,0.00499999999998552
"MIX_034",0.450000000000008,0,0.44999999999999,0,0,0.0999999999999981,0,0
"MIX_035",0,0,0,0.449999999999999,0.449999999999996,0,0,0.0999999999999994
"MIX_036",0,0.100000000000001,0,0,0,0.449999999999996,0.450000000000003,0
"MIX_037",0,0,0.0999999999999947,0,0,0,0.449999999999999,0.450000000000002
"MIX_038",0.450000000000004,0.45,0,0,0.0999999999999927,0,0,0
"MIX_039",0,0.0999999999999962,0,0,0.449999999999999,0,0.45,0
"MIX_040",0.450000000000008,0,0.44999999999999,0,0,0.0999999999999981,0,0
"MIX_041",0,0,0,0.449999999999999,0.449999999999996,0,0,0.0999999999999994
"MIX_042",0.019072703871021,0.15458790571593,0.134591986625638,0.154994218478261,0.449247123547316,0.00880207179493972,0.00723678700227759,0.0714672029646164
"MIX_043",0.312550722166252,0.12032188127569,0.111468203968732,0.285499394766355,0.00363535675853094,0.0297858323140425,0.0624771250793837,0.0742614836710145
"MIX_044",0.0940215455535656,0.280074902159159,0.00264981775251301,0.0140011757452257,0.00838129183877157,0.13061220163084,0.470136669715113,0.000122395604811837
"MIX_045",0.294855076957855,0.256498365843928,0.0364634790540948,0.00448775634951534,0.0690223053064738,0.103518550930533,0.115068968951651,0.120085496605948
"MIX_046",0.182152190412293,0.0797195911791996,0.0328585562174172,0.321633380767517,0.177135672435533,0.00301149655026087,0.146222898494368,0.0572662139434114
"MIX_047",0.280126153485961,0.284076356568492,0.00610139761876285,0.201251300702873,0.00449185504125002,0.143870421458813,0.0147426227078638,0.0653398924159828
"MIX_048",0.0751495120474556,0.165875903989169,0.00543446437660836,0.284988933653697,0.0302630536094125,0.0640689861037797,0.366828610959434,0.0073905352604436
