"","T_cell","B_cell","NK_cell","Monocyte","Dendritic","Endothelial","Fibroblast","Epithelial"
"MIX_001",1,0,0,0,0,0,0,0
"MIX_002",0.00118521159625895,0.998319941301223,0,0,0,5.77873137043161e-05,0.000436950836806435,1.08952007485397e-07
"MIX_003",0,0.000524923117084228,0.999475076882916,0,0,0,0,0
"MIX_004",9.66034792363457e-05,0,0.00012143586539147,0.999781960655372,0,0,0,0
"MIX_005",0,0,0,0.00393036809211909,0.995241278842461,0,0.000828353065419354,0
"MIX_006",0,7.51339696685588e-05,0.000224134728074268,0,0.000576569525045909,0.999124161777211,0,0
"MIX_007",5.13350674824498e-06,0,0,0,0.000250295322683683,0,0.999744571170568,0
"MIX_008",0,0,0,0,0.00035098505804329,0.000509760608488619,0,0.999139254333468
"MIX_009",0.131833164807647,0.14915653125101,0.107349604543799,0.111837463734712,0.120096694046967,0.110729009442997,0.158578135665156,0.110419396507712
"MIX_010",0.443790787673997,0.556209212326003,0,0,0,0,0,0
"MIX_011",0,0.632591584064931,0.367408415935069,0,0,0,0,0
"MIX_012",0,0,0.498938017374576,0.501061982625424,0,0,0,0
"MIX_013",0,0,0,0.4598422419767,0.540157758023299,0,0,0
"MIX_014",0,0,0,0,0.540970049547613,0.459029950452387,0,0
"MIX_015",0,0,0,0,0,0.408997265156132,0.591002734843868,0
"MIX_016",0,0,0,0,0,0,0.576383529580903,0.423616470419097
"MIX_017",0.550577831835691,0,0,0,0,0,0,0.449422168164309
"MIX_018",0.82041502952977,0,0.143599964612775,0,0,0.0359850058574546,0,0
"MIX_019",0,0.843480194597311,0,0.108397001156011,0,0,0.048122804246678,0
"MIX_020",0,0,0.758740211662766,0,0.193984588152005,0,0,0.0472752001852294
"MIX_021",0.0644125382709199,0,0,0.769777219490537,0,0.165810242238543,0,0
"MIX_022",0,0.0567518571990741,0,0,0.748307026052603,0,0.194941116748323,0
"MIX_023",0,0,0.0435034164314337,0,0,0.775576971940577,0,0.18091961162799
"MIX_024",0.158133551924582,0,0,0.0193569278077229,0,0,0.822509520267695,0
"MIX_025",0,0.23377067392641,0,0,0.0296992222001775,0,0,0.736530103873412
"MIX_026",0,0.878273288836261,0,0,0.121726711163739,0,0,0
"MIX_027",0,0,0.841380099681326,0,0,0.158619900318674,0,0
"MIX_028",0,0,0,0.791246455880699,0,0,0.208753544119301,0
"MIX_029",0,0,0,0,0.854131669565631,0,0,0.145868330434369
"MIX_030",0.182018701997181,0,0,0,0,0.817981298002818,0,0
"MIX_031",0,0.158170592029332,0,0,0,0,0.841829407970668,0
"MIX_032",0,0,0.148878950686338,0,0,0,0,0.851121049313662
"MIX_033",0.874412577066457,0,0,0.125587422933543,0,0,0,0
"MIX_034",0.552261975400647,0,0.428937108459191,0,0,0.0188009161401617,0,0
"MIX_035",0,0,0,0.448534534666535,0.525010317300956,0,0,0.0264551480325088
"MIX_036",0,0.0412928323328837,0,0,0,0.403497317705509,0.555209849961607,0
"MIX_037",0,0,0.0079177771639669,0,0,0,0.564219794788527,0.427862428047506
"MIX_038",0.457856534646446,0.542143465353554,0,0,0,0,0,0
"MIX_039",0,0.0371023610443477,0,0,0.434971655986729,0,0.527925982968923,0
"MIX_040",0.558638662304794,0,0.423702909595303,0,0,0.0176584280999027,0,0
"MIX_041",0,0,0,0.450725915653802,0.522765428530281,0,0,0.0265086558159163
"MIX_042",0,0.186366680168207,0.0901469989768205,0.129345049611659,0.584529989755394,0,0,0.00961128148791908
"MIX_043",0.444652908763364,0.128277501965376,0.0763938277643561,0.296296234598902,0,0,0.0195995960492342,0.0347799308587678
"MIX_044",0.0207322011351102,0.336388061981887,0,0,0,0.0479698382880852,0.594909898594917,0
"MIX_045",0.370827724015252,0.370627985355779,0,0,0.00431509195694418,0.0571082927693103,0.118594987434916,0.0785259184677988
"MIX_046",0.211474619465022,0.0493652620074398,0,0.363460102366377,0.195436702325475,0,0.178436741195742,0.00182657263994421
"MIX_047",0.339535138501827,0.415541815550316,0,0.156270224255937,0,0.0886528216919199,0,0
"MIX_048",0.0143955672122321,0.194030400231624,0,0.268617096541829,0,0.00452357702974937,0.518433358984566,0
