"","T_cell","B_cell","NK_cell","Monocyte","Dendritic","Endothelial","Fibroblast","Epithelial"
"MIX_001",0.999999999999999,0,0,0,0,0,0,0
"MIX_002",0.00208029199550819,0.993230594865478,0.000834118945080231,0.000850458528346615,0.00012487448243563,0.000987799322880734,0.0010224746269826,0.000869387233287694
"MIX_003",0,0.000468035220059324,0.999422452690329,0,0,0.000109512089611866,0,0
"MIX_004",0.000308275944909842,0.000109733328895092,0.00117640410182836,0.996756915789021,0,0.000816064688675067,0,0.000832606146670772
"MIX_005",0,0.000431092522677104,0.000867755431160439,0.00544567440479835,0.990970195659761,0,0.00157117629376083,0.000714105687842151
"MIX_006",5.4107953352589e-05,0.000219882684448766,0.000629457497910102,0.000312912832415524,0.000739655265492647,0.99804398376638,0,0
"MIX_007",0,0,0,0,6.07905551037319e-05,0,0.999939209444896,0
"MIX_008",0,0,0.000111216642770751,0.000239758436434798,0.000515735719288687,0.000829473046359178,0,0.998303816155146
"MIX_009",0.123889072420411,0.124960575655141,0.127576460711273,0.126958075004646,0.122663854946082,0.124946576871075,0.124759255000172,0.124246129391199
"MIX_010",0.497841763036537,0.497955170867927,0.00240128012391838,0.0010104458938662,7.09514693722213e-05,0.000138343333820345,0.00014879515711308,0.00043325011744566
"MIX_011",0,0.50438745285859,0.49561254714141,0,0,0,0,0
"MIX_012",0.000380686769595295,0.00096735988794798,0.49987942298205,0.49741017600065,0.000425395221175129,0.000936959138581162,0,0
"MIX_013",0,0,0.000796306881304346,0.499625768631836,0.499361184005986,0.000216740480873862,0,0
"MIX_014",0.00028579498607656,0,0.00118728412849174,0.000946021753424509,0.499952140905061,0.49567815351303,0.00126751566168355,0.000683089052231911
"MIX_015",0,0,0,0,0,0.496083218129342,0.503916781870658,0
"MIX_016",0,0,0,0,0,0.0016057881495958,0.500476437444842,0.497917774405562
"MIX_017",0.494576398006185,0.000272081480531955,0.00377384317365201,0.00033180223743226,0,0.000701070806669563,0.000790925113328733,0.4995538791822
"MIX_018",0.70235936839075,0.0004106401467871,0.198553232239565,0,0,0.0983280834345102,0,0.000348675788386987
"MIX_019",0.000834382447416182,0.694325891879608,0.000795118643209025,0.200085382362454,0,0.0019120403318123,0.101402026143471,0.000645158192028386
"MIX_020",0.00152271585929137,4.34014833221308e-05,0.693580188114484,0.00115204471453365,0.200243777829619,0.000887048487631756,0.00100236176366894,0.101568461747449
"MIX_021",0.098709486588244,0,0.000350384270268886,0.701747589597035,0.000176155375871304,0.198722902081439,0.000293482087141375,0
"MIX_022",0,0.10026635145584,0,0.000612723000561727,0.698494473143626,0.00112886606492331,0.198916695999409,0.000580890335640294
"MIX_023",0.000236352854188382,0,0.100410009112754,0.000866366887244535,0.000382270972259333,0.695839847244864,0.000182202780761684,0.202082950147928
"MIX_024",0.199739289477919,0,0,0.0984117241329125,0,4.87306014507471e-05,0.700810331864897,0.000989923922820907
"MIX_025",0,0.199682679035572,0.000375688989121173,0.000787138092989373,0.100094016582969,0.000180676298156449,0.000657425823016394,0.698222375178176
